A,B,Product
-128,-127,16272
-128,-126,16144
-128,-125,16016
-128,-124,15888
-128,-123,15760
-128,-122,15632
-128,-121,15504
-128,-120,15376
-128,-119,15248
-128,-118,15120
-128,-117,14992
-128,-116,14864
-128,-115,14736
-128,-114,14608
-128,-113,14480
-128,-112,14352
-128,-111,14224
-128,-110,14096
-128,-109,13968
-128,-108,13840
-128,-107,13712
-128,-106,13584
-128,-105,13456
-128,-104,13328
-128,-103,13200
-128,-102,13072
-128,-101,12944
-128,-100,12816
-128,-99,12688
-128,-98,12560
-128,-97,12432
-128,-96,12304
-128,-95,12176
-128,-94,12048
-128,-93,11920
-128,-92,11792
-128,-91,11664
-128,-90,11536
-128,-89,11408
-128,-88,11280
-128,-87,11152
-128,-86,11024
-128,-85,10896
-128,-84,10768
-128,-83,10640
-128,-82,10512
-128,-81,10384
-128,-80,10256
-128,-79,10128
-128,-78,10000
-128,-77,9872
-128,-76,9744
-128,-75,9616
-128,-74,9488
-128,-73,9360
-128,-72,9232
-128,-71,9104
-128,-70,8976
-128,-69,8848
-128,-68,8720
-128,-67,8592
-128,-66,8464
-128,-65,8336
-128,-64,8208
-128,-63,8080
-128,-62,7952
-128,-61,7824
-128,-60,7696
-128,-59,7568
-128,-58,7440
-128,-57,7312
-128,-56,7184
-128,-55,7056
-128,-54,6928
-128,-53,6800
-128,-52,6672
-128,-51,6544
-128,-50,6416
-128,-49,6288
-128,-48,6160
-128,-47,6032
-128,-46,5904
-128,-45,5776
-128,-44,5648
-128,-43,5520
-128,-42,5392
-128,-41,5264
-128,-40,5136
-128,-39,5008
-128,-38,4880
-128,-37,4752
-128,-36,4624
-128,-35,4496
-128,-34,4368
-128,-33,4240
-128,-32,4112
-128,-31,3984
-128,-30,3856
-128,-29,3728
-128,-28,3600
-128,-27,3472
-128,-26,3344
-128,-25,3216
-128,-24,3088
-128,-23,2960
-128,-22,2832
-128,-21,2704
-128,-20,2576
-128,-19,2448
-128,-18,2320
-128,-17,2192
-128,-16,2064
-128,-15,1936
-128,-14,1808
-128,-13,1680
-128,-12,1552
-128,-11,1424
-128,-10,1296
-128,-9,1168
-128,-8,1040
-128,-7,912
-128,-6,784
-128,-5,656
-128,-4,528
-128,-3,400
-128,-2,272
-128,-1,144
-128,0,-16
-128,1,-144
-128,2,-272
-128,3,-400
-128,4,-528
-128,5,-656
-128,6,-784
-128,7,-912
-128,8,-1040
-128,9,-1168
-128,10,-1296
-128,11,-1424
-128,12,-1552
-128,13,-1680
-128,14,-1808
-128,15,-1936
-128,16,-2064
-128,17,-2192
-128,18,-2320
-128,19,-2448
-128,20,-2576
-128,21,-2704
-128,22,-2832
-128,23,-2960
-128,24,-3088
-128,25,-3216
-128,26,-3344
-128,27,-3472
-128,28,-3600
-128,29,-3728
-128,30,-3856
-128,31,-3984
-128,32,-4112
-128,33,-4240
-128,34,-4368
-128,35,-4496
-128,36,-4624
-128,37,-4752
-128,38,-4880
-128,39,-5008
-128,40,-5136
-128,41,-5264
-128,42,-5392
-128,43,-5520
-128,44,-5648
-128,45,-5776
-128,46,-5904
-128,47,-6032
-128,48,-6160
-128,49,-6288
-128,50,-6416
-128,51,-6544
-128,52,-6672
-128,53,-6800
-128,54,-6928
-128,55,-7056
-128,56,-7184
-128,57,-7312
-128,58,-7440
-128,59,-7568
-128,60,-7696
-128,61,-7824
-128,62,-7952
-128,63,-8080
-128,64,-8208
-128,65,-8336
-128,66,-8464
-128,67,-8592
-128,68,-8720
-128,69,-8848
-128,70,-8976
-128,71,-9104
-128,72,-9232
-128,73,-9360
-128,74,-9488
-128,75,-9616
-128,76,-9744
