A,B,Product
-128,-127,17400
-128,-126,17400
-128,-125,17400
-128,-124,17400
-128,-123,17400
-128,-122,17400
-128,-121,17400
-128,-120,17400
-128,-119,17400
-128,-118,17400
-128,-117,17400
-128,-116,17400
-128,-115,17400
-128,-114,17400
-128,-113,17400
-128,-112,17400
-128,-111,17400
-128,-110,17400
-128,-109,17400
-128,-108,17400
-128,-107,17400
-128,-106,17400
-128,-105,17400
-128,-104,17400
-128,-103,17400
-128,-102,17400
-128,-101,17400
-128,-100,17400
-128,-99,17400
-128,-98,17400
-128,-97,17400
-128,-96,17400
-128,-95,17400
-128,-94,17400
-128,-93,17400
-128,-92,17400
-128,-91,17400
-128,-90,17400
-128,-89,17400
-128,-88,17400
-128,-87,17400
-128,-86,17400
-128,-85,17400
-128,-84,17400
-128,-83,17400
-128,-82,17400
-128,-81,17400
-128,-80,17400
-128,-79,17400
-128,-78,17400
-128,-77,17400
-128,-76,17400
-128,-75,17400
-128,-74,17400
-128,-73,17400
-128,-72,17400
-128,-71,17400
-128,-70,17400
-128,-69,17400
-128,-68,17400
-128,-67,17400
-128,-66,17400
-128,-65,17400
-128,-64,17400
-128,-63,17400
-128,-62,17400
-128,-61,17400
-128,-60,17400
-128,-59,17400
-128,-58,17400
-128,-57,17400
-128,-56,17400
-128,-55,17400
-128,-54,17400
-128,-53,17400
-128,-52,17400
-128,-51,17400
-128,-50,17400
-128,-49,17400
-128,-48,17400
-128,-47,17400
-128,-46,17400
-128,-45,17400
-128,-44,17400
-128,-43,17400
-128,-42,17400
-128,-41,17400
-128,-40,17400
-128,-39,17400
-128,-38,17400
-128,-37,17400
-128,-36,17400
-128,-35,17400
-128,-34,17400
-128,-33,17400
-128,-32,17400
-128,-31,17400
-128,-30,17400
-128,-29,17400
-128,-28,17400
-128,-27,17400
-128,-26,17400
-128,-25,17400
-128,-24,17400
-128,-23,17400
-128,-22,17400
-128,-21,17400
-128,-20,17400
-128,-19,17400
-128,-18,17400
